id;Unidade Local;CEP;Cidade;Fones;Endereço;UF;Superintendência Regional;Município(s) de Abrangência;
95;UNIDADE LOCAL DE BAURU/SP;01.120-001;Bauru;(14) 3102-4450,;Rua Mobile di Piero;SP;;Ubirajara,Uchoa,Vera Cruz,Votuporanga,Zacarias,Sud Mennucci,Tabatinga,Taquaral,Taquaritinga,Taiúva,Tanabi,Teodoro Sampaio,Tupi Paulista,Turiúba,Ubarana,Inúbia Paulista,Ibaté,Ibirá,Ibitinga,Icém,Igarapava,Ituverava,Jaboticabal,Jaci,José Bonifácio,Jardinópolis,Lins,Lucélia,Luiziânia,Lupércio,Magda,Marabá Paulista,Maracaí,Mariápolis,Marília,Martinópolis,Matão,Mirante do Paranapanema,Mirassol,MonçõEs,Neves Paulista,Nhandeara,Nova Europa,Nova Granada,Ocauçu,Olímpia,Onda Verde,Orlândia,Monte Aprazível,Monte Azul Paulista,Osvaldo Cruz,Palestina,Paraguaçu Paulista,Parapuã,Paulicéia,Paulo de Faria,Penápolis,Pereira Barreto,Pindorama,Piquerobi,Pitangueiras,Platina,Poloni,Pontal,Pirajuí,Porto Ferreira,Presidente Bernardes,Presidente Epitácio,Presidente Prudente,Presidente Venceslau,Promissão,Pracinha,Rancharia,Regente Feijó,Reginópolis,Ribeirão do Sul,Ribeirão dos Índios,Ribeirão Preto,Rinópolis,Rubinéia,Sagres,Sales Oliveira,Salto Grande,Santa Adélia,Riolândia,Rosana,Santa Ernestina,Santa Rita do Passa Quatro,Santo Anastácio,Santo Antônio da Alegria,Santo Expedito,Santópolis do Aguapeí,Santa Mercedes,São Carlos,São Joaquim da Barra,São José do Rio Preto,São Pedro do Turvo,São Simão,Sebastianópolis do Sul,Severínia,Álvares Florence,Álvares Machado,Alvinlândia,Andradina,Aramina,Araraquara,Altinópolis,Alto Alegre,Assis,Auriflama,Avanhandava,Bady Bassitt,Balbinos,Barretos,Batatais,Bebedouro,Buritama,Buritizal,Cafelândia,Caiuá,Cajobi,Campos Novos Paulista,Castilho,Catanduva,Catiguá,Cedral,Colina,Colômbia,Cravinhos,Cardoso,Descalvado,Fernando Prestes,Floreal,Gavião Peixoto,General Salgado,Getulina,Guaiçara,Guaimbê,Guapiaçu,Dobrada,Dracena,Guará,Guarantã,Emilianópolis,Guariba,Guzolândia,Iacanga,Iacri;
104;UNIDADE LOCAL DE BOA VIAGEM/CE;63.870-000;Boa Viagem;(85) 3270-3489,;BR-020;CE;;Arneiroz,Boa Viagem,Canindé,Crateús,Independência,Ipaporanga,Itatira,Madalena,Milhã,Novo Oriente,Parambu,Pedra Branca,Poranga,Quiterianópolis,Senador Pompeu,Tauá;
81;UNIDADE LOCAL DE BOA VISTA/RR;69.301-130;Boa Vista;(95) 3224-8403,;Rua Barão do Rio Branco;RR;;Amajari,Boa Vista,Bonfim,Cantá,Caracaraí,Caroebe,Iracema,Mucajaí,Normandia,Pacaraima,Rorainópolis,São João da Baliza,São Luiz;
62;UNIDADE LOCAL DE BOM DESPACHO/MG;35600000;Bom Despacho;(37) 35221910,;Rua Francisco Ribeiro Rezende;MG;;Abaeté,Araújos,Arcos,Bambuí,Bom Despacho,Caetanópolis,Cedro do Abaeté,Conceição do Pará,Córrego Danta,Curvelo,Divinópolis,Felixlândia,Florestal,Igaratinga,Iguatama,Juatuba,Luz,Martinho Campos,Mateus Leme,Moema,Nova Serrana,Onça de Pitangui,Pará de Minas,Paraopeba,Pitangui,Santa Rosa da Serra,São Gonçalo do Abaeté,São Gonçalo do Pará,São Gotardo,Tiros,Três Marias;
512;UNIDADE LOCAL DE BRASILIA/DF;72549-650;Brasília;(61) 33943004,;Rodovia BR-040;DF;;Brasília,Água Fria de Goiás,Águas Lindas de Goiás,Alto Paraíso de Goiás,Alvorada do Norte;
49;UNIDADE LOCAL DE CÁCERES/MT;78.200-000;Cáceres;(65) 3223-1101,;Av. Santos Dumont;MT;;Vale de São Domingos,Pontes e Lacerda,Porto Esperidião,Nova Lacerda,Conquista D'Oeste,Cáceres,Figueirópolis D'Oeste,Comodoro,Glória D'Oeste,Jauru,Vila Bela da Santíssima Trindade,Mirassol D'Oeste;
151;UNIDADE LOCAL DE CALÇOENE/AP;68.908-901;Calçoene;(61) 3315-4000,;Av. Ernestino Borges;AP;;Calçoene,Ferreira Gomes,Laranjal do Jari,Macapá,Mazagão,Oiapoque,Amapá;
37;UNIDADE LOCAL DE CAMPINA GRANDE/PB;58.104-170;Campina Grande;(83) 3337-3102,;Av. Prefeito Severino Cabral, Bairro;PB;;Alagoa Nova,Alcantil,Algodão de Jandaíra,São João do Cariri,São Sebastião de Lagoa de Roça,Serra Branca,Soledade,Sumé,Tenório,Assunção,Barra de Santana,Barra de Santa Rosa,Boa Vista,Campina Grande,Cuité,Esperança,Gurinhém,Gurjão,Ingá,Itabaiana,Juazeirinho,Junco do Seridó,Juripiranga,Lagoa Seca,Mogeiro,Monteiro,Nova Floresta,Olivedos,Ouro Velho,Pocinhos,Prata,Puxinanã,Queimadas,Remígio,Riachão do Bacamarte,Santa Luzia;
134;UNIDADE LOCAL DE CAMPO DOS GOYTACAZES/RJ;28.042-500;Campos dos Goytacazes;(22) 2732-9898,;Av. Silvio Bastos Tavares;RJ;;Araruama,Arraial do Cabo,Campos dos Goytacazes,Cantagalo,Cardoso Moreira,Carmo,Casimiro de Abreu,Conceição de Macabu,Cordeiro,Duas Barras,São José de Ubá,São José do Vale do Rio Preto,São Pedro da Aldeia,São Sebastião do Alto,Silva Jardim,Tanguá,Bom Jardim,Bom Jesus do Itabapoana,Cabo Frio,Carapebus,Italva,Itaocara,Itaperuna,Macaé,Macuco,Nova Friburgo,Paty do Alferes,Itaboraí,Quissamã,Rio Bonito,Rio das Ostras,Santo Antônio de Pádua,São Fidélis,São Gonçalo,São João da Barra;
57;UNIDADE LOCAL DE CAMPO GRANDE/MS;79.021-201;Campo Grande;(67) 3302-5700,;Av. Mato Grosso;MS;;Ribas do Rio Pardo,Sidrolândia,Terenos,Dois Irmãos do Buriti,Campo Grande;
123;UNIDADE LOCAL DE CAMPO MOURÃO/PR;87.309-650;Campo Mourão;(41) 3361-7460,;BR-158;PR;;Adrianópolis,Almirante Tamandaré,Alto Paraná,Alto Piquiri,Anahy,Antonina,Antônio Olinto,Araruna,Araucária,Ariranha do Ivaí,Balsa Nova,Boa Ventura de São Roque,Bocaiúva do Sul,Borrazópolis,Brasilândia do Sul,Cafezal do Sul,Campo do Tenente,Campo Largo,Campo Magro,Campo Mourão,Cândido de Abreu,Campina Grande do Sul,Cianorte,Contenda,Corbélia,Colombo,Cruzeiro do Oeste,Curitiba,Diamante do Norte,Engenheiro Beltrão,Farol,Fazenda Rio Grande,Fernandes Pinheiro,Francisco Alves,General Carneiro,Goioerê,Guairaçá,Guaraqueçaba,Guaratuba,Icaraíma,Inajá,Iporã,Iretama,Itaúna do Sul,Ivaiporã,Japurá,Jardim Alegre,Jardim Olinda,Juranda,Jussara,Kaloré,Lapa,Janiópolis,Lidianópolis,Loanda,Luiziana,Mamborê,Mandaguaçu,Mandaguari,Mandirituba,Manoel Ribas,Mariluz,Maringá,Marialva,Marquinho,Marumbi,Mato Rico,Morretes,Nova Esperança,Nova Londrina,Nova Tebas,Palmeira,Palmital,Paranaguá,Paranapoema,Paranavaí,Paula Freitas,Paulo Frontin,Peabiru,Piraquara,Pitanga,Pinhais,Porto Amazonas,Porto Vitória,Presidente Castelo Branco,Quatro Barras,Quitandinha,Rancho Alegre D'Oeste,Reserva,Roncador,Rio Branco do Sul,Rio Negro,São Carlos do Ivaí,São João do Caiuá,São José dos Pinhais,São Mateus do Sul,São Tomé,Sarandi,Tamboara,Teixeira Soares,Terra Boa,Terra Roxa,Tijucas do Sul,Tunas do Paraná,Tuneiras do Oeste,Turvo,Ubiratã,Umuarama,Vila Alta;
50;UNIDADE LOCAL DE CAMPO NOVO DOS PARECIS/MT;78020900;Cuiabá;(65) 33154000,;Rua Treze de Junho 1296;MT;;Brasnorte,Campo Novo do Parecis,Diamantino,Campos de Júlio,Nortelândia,Tangará da Serra,Sapezal,Nova Marilândia;
51;UNIDADE LOCAL DE CAMPO VERDE/MT;78.840-000;Campo Verde;(65) 3315-4000,;Av. Manoel Genildo de Araújo;MT;;Tesouro,Pontal do Araguaia,Poxoréo,Dom Aquino,General Carneiro;
118;UNIDADE LOCAL DE CAPANEMA/PA;68701050;Capanema;(91) 34621035,;Av. João Paulo II;PA;;Afuá,Viseu,Tracuateua,Santa Isabel do Pará,Santa Luzia do Pará,Santa Maria do Pará,São Francisco do Pará,Ponta de Pedras,Peixe-Boi,Marituba,Muaná,Nova Timboteua,Capanema,Castanhal,Igarapé-Açu,Cachoeira do Piriá,Benevides,Bragança,Augusto Corrêa,Anajás,Ananindeua,Belém;
63;UNIDADE LOCAL DE CARATINGA/MG;35.300-276;Caratinga;(33) 33212411,(33) 33333333;Rua Dr. João Valadares;MG;;Pocrane,Piedade de Caratinga,Reduto,Nova Era,Matipó,Martins Soares,Manhuaçu,Iapu,Imbé de Minas,Inhapim,Ipaba,Ipanema,Jaguaraçu,Dom Cavati,Dom Silvério,Caratinga,Bugre,Antônio Dias,Abre Campo,Aimorés,Ubaporanga,Timóteo,Taparuba,São João do Manhuaçu,São Domingos do Prata,Santa Rita de Minas,Santo Antônio do Grama,Rio Casca,Rio Doce,Santa Bárbara do Leste,Santa Cruz do Escalvado;
77;UNIDADE LOCAL DE CARUARU/PE;55.000-000;Caruaru;(81) 3721-0815,;Rua Nazaré da Mata;PE;;Agrestina,Capoeiras,Calçado,Belo Jardim,Bezerros,Águas Belas,Itaíba,Iati,Jucati,Jupi,Lajedo,Cupira,Cachoeirinha,Caruaru,Tacaimbó,Taquaritinga do Norte,Toritama,São Caitano,São João,Saloá,Sanharó,Quipapá,Panelas,Paranatama;
101;UNIDADE LOCAL DE CASTANHO/AM;69.058-775;Humaitá;(92) 3878-5710,;Av. Recife;AM;;Tonantins,Borba,Japurá,Manaquiri,Manaus,Manicoré,Presidente Figueiredo,Rio Preto da Eva,Santa Isabel do Rio Negro,Santo Antônio do Içá,São Gabriel da Cachoeira,São Paulo de Olivença,Tabatinga,Barcelos,Beruri,Careiro,Careiro da Várzea;
64;UNIDADE LOCAL DE CAXAMBU/MG;37.440-000;Caxambu;(35) 3341-1721,;Av. Getúlio Vargas;MG;;Aiuruoca,Albertina,Arantina,Alfenas,Andradas,Andrelândia,Baependi,Bandeira do Sul,Areado,Botelhos,Cabo Verde,Cachoeira de Minas,Caldas,Camanducaia,Cambuí,Cambuquira,Campanha,Campestre,Careaçu,Carmo da Cachoeira,Carmo de Minas,Carvalhópolis,Carvalhos,Dom Viçoso,Elói Mendes,Divisa Nova,Extrema,Fama,Estiva,Cruzília,Delfim Moreira,Cristina,Conceição do Rio Verde,Congonhal,Caxambu,Cordislândia,Jacutinga,Ipuiúna,Itajubá,Ingaí,Itamonte,Itanhandu,Itapeva,Luminárias,Maria da Fé,Machado,Madre de Deus de Minas,Liberdade,Lambari,Jesuânia,Minduri,Monsenhor Paulo,Monte Belo,Monte Sião,Olímpio Noronha,Paraguaçu,Pouso Alegre,Pouso Alto,Poços de Caldas,Piranguçu,Piranguinho,Santa Rita de Caldas,Santa Rita do Sapucaí,São Gonçalo do Sapucaí,São Lourenço,São Sebastião da Bela Vista,Três CoraçõEs,São Vicente de Minas,Senador José Bento,Seritinga,Serrania,Soledade de Minas,Wenceslau Braz,Varginha;
112;UNIDADE LOCAL DE CAXIAS/MA;65.608-700;Caxias;(99) 3521-4059,;Av. Pirajá;MA;;Senador Alexandre Costa,Timon,Tuntum,São Luís Gonzaga do Maranhão,Santo Antônio dos Lopes,São João do Soter,São Domingos do Maranhão,Santa Filomena do Maranhão,Peritoró,Presidente Dutra,Governador Eugênio Barros,Jatobá,Lago Verde,MatõEs,Bacabal,Graça Aranha,Dom Pedro,Caxias,Codó,Barra do Corda,Alto Alegre do Maranhão,Bom Lugar,Capinzal do Norte;
87;UNIDADE LOCAL DE CHAAPECÓ/SC;89.810-800;Chapecó;(49) 33280120,(22) 22222222;Rodovia BR-282;SC;;Xanxerê,Xaxim,Vargeão,Riqueza,Saltinho,São Bernardino,São Carlos,São Domingos,São João do Oeste,São José do Cedro,São Lourenço do Oeste,São Miguel do Oeste,Saudades,Serra Alta,Tigrinhos,Abelardo Luz,Águas de Chapecó,Bom Jesus,Bom Jesus do Oeste,Caibi,Campo Erê,Chapecó,Cordilheira Alta,Cunha Porã,Descanso,Dionísio Cerqueira,Faxinal dos Guedes,Galvão,Guaraciaba,Guarujá do Sul,Guatambú,Iporã do Oeste,Ipuaçu,Iraceminha,Itapiranga,Jupiá,Mondaí,Nova Erechim,Nova Itaberaba,Palma Sola,Palmitos,Maravilha,Paraíso,Passos Maia,Pinhalzinho,Planalto Alegre;
65;UNIDADE LOCAL DE CONTAGEM/MG;39390-000;Bocaiúva;(31) 33337660,;Rua Firmino de Oliveira;MG;;Piranga,Presidente Juscelino,Presidente Kubitschek,Ribeirão das Neves,Rio Acima,Ouro Preto,Pedro Leopoldo,Nova Lima,Matozinhos,João Monlevade,José Raydan,Nova União,Mariana,Itamarandiba,Itabira,Itabirito,Itaverava,Inimutaba,Ibirité,Gouveia,Contagem,Congonhas,Couto de Magalhães de Minas,Datas,Esmeraldas,Diogo de Vasconcelos,Catas Altas da Noruega,Cantagalo,Caeté,Bom Jesus do Amparo,Bela Vista de Minas,Belo Horizonte,Barão de Cocais,Vespasiano,Serro,Sete Lagoas,São José do Jacuri,São Sebastião do Maranhão,São Pedro do Suaçuí,São Brás do Suaçuí,São Gonçalo do Rio Abaixo,Santa Luzia,Santa Maria do Suaçuí,Sabará,Sabinópolis,Santa Bárbara;
58;UNIDADE LOCAL DE COXIM/MS;79.400-000;Coxim;(67) 3291-1649,;Rua Feliciano Serreou Camy;MS;;Chapadão do Sul,Sonora,Paraíso das Águas,Rio Negro,Rio Verde de Mato Grosso,Rochedo,São Gabriel do Oeste,Camapuã,Bandeirantes,Alcinópolis,Costa Rica,Coxim,Figueirão,Jaraguari;
140;UNIDADE LOCAL DE CRUZ ALTA/RS;98.045-030;Cruz Alta;(55) 3324-1895,;BR 158;RS;;Arroio do Tigre,Barra do Guarita,Boa Vista das MissõEs,Boa Vista do Buricá,Boa Vista do Cadeado,Boa Vista do Incra,Bom Progresso,Bossoroca,Bozano,Caibaté,Campo Novo,Cerro Branco,Cerro Largo,Condor,Coronel Barros,Coronel Bicaco,Cruz Alta,Entre-Ijuís,Estrela Velha,Eugênio de Castro,Fortaleza dos Valos,Frederico Westphalen,Garruchos,Guarani das MissõEs,Humaitá,Ibirubá,Ijuí,Iraí,Jóia,Lagoa Bonita do Sul,Nova Candelária,Palmeira das MissõEs,Palmitinho,Panambi,Pejuçara,Pirapó,Porto Lucena,Porto Xavier,Roque Gonzales,Salto do Jacuí,Salvador das MissõEs,Santa Bárbara do Sul,Vista Alegre,Vista Gaúcha,Vitória das MissõEs,Santa Rosa,Santo Ângelo,Santo Augusto,Santo Cristo,São Borja,Santo Antônio das MissõEs,São José do Inhacorá,São Luiz Gonzaga,São Martinho,São Nicolau,São Pedro do Butiá,Seberi,Sede Nova,Sete de Setembro,Sobradinho,Taquaruçu do Sul,Tenente Portela,Tiradentes do Sul,Três de Maio,Três Passos;
29;UNIDADE LOCAL DE CRUZ DAS ALMAS/BA;44.380-000;Cruz das Almas;(75) 3621-1179,;Rod BR 101;BA;;Muritiba,Mutuípe,Nazaré,Olindina,Pedrão,Pojuca,Presidente Tancredo Neves,Muniz Ferreira,Laje,Itapicuru,Jaguaripe,Jiquiriçá,Inhambupe,Ibirapitanga,Itaquara,Governador Mangabeira,Gandu,Entre Rios,Esplanada,Dom Macedo Costa,Cruz das Almas,Coração de Maria,Cipó,Conceição da Feira,Conceição do Almeida,Conceição do Jacuípe,Catu,Camamu,Cachoeira,Aramari,Alagoinhas,Wenceslau Guimarães,Vera Cruz,Valença,Teodoro Sampaio,Teolândia,Ubaíra,São Félix,São Gonçalo dos Campos,Santa Inês,Santo Antônio de Jesus,São Miguel das Matas,São Sebastião do Passé,Sapeaçu,Rio Real;
53;UNIDADE LOCAL DE CUIABÁ/MT;78020-900;Cuiabá;(65) 3315-4000,;Rua 13 de Junho;MT;;Aripuanã,Nobres,Juína,Juruena,Cuiabá,Acorizal,Colniza,Campo Verde,Campinápolis,Castanheira,Chapada dos Guimarães,Primavera do Leste,Jangada,Poconé,Nossa Senhora do Livramento,Nova Brasilândia,Nova Mutum,Rosário Oeste,Santo Antonuio do Leste,Santo Antônio do Leverger,Várzea Grande;
136;UNIDADE LOCAL DE CURRAIS NOVOS/RN;59.380-001;Currais Novos;(84) 3431-1699,;Av. 13 de Maio;RN;;São Vicente,Triunfo Potiguar,Santa Cruz,Santana do Matos,São Fernando,Serra Negra do Norte,Tangará,Tenente Laurentino Cruz,Timbaúba dos Batistas,Acari,Caicó,Campo Redondo,Cerro Corá,Coronel Ezequiel,Currais Novos,Florânia,Jaçanã,Jardim do Seridó,Jucurutu,Lajes Pintadas;
59;UNIDADE LOCAL DE DOURADOS/MS;79.840-140;Dourados;(67) 3424-4471,;Rua Amâncio de Matos Pereira;MS;;Rio Brilhante,Vicentina,Ponta Porã,Nova Alvorada do Sul,Nova Andradina,Mundo Novo,Naviraí,Jateí,Juti,Glória de Dourados,Itaquiraí,Ivinhema,Deodápolis,Douradina,Dourados,Eldorado,Fátima do Sul,Batayporã,Caarapó;
30;UNIDADE LOCAL DE EUCLIDES DA CUNHA/BA;48.500-000;Euclides da Cunha;(75) 3271-1110,;Rua Marechal Juarez Távora;BA;;Rodelas,Ribeira do Pombal,Santa Brígida,Tucano,Sítio do Quinto,Antas,Abaré,Canudos,Chorrochó,Cícero Dantas,Coronel João Sá,Euclides da Cunha,Glória,Jeremoabo,Macururé,Quijingue,Paulo Afonso,Pedro Alexandre;
31;UNIDADE LOCAL DE EUNÁPOLIS/BA;45.820-270;Eunápolis;(73) 3281-3464,;Praça Armando Ribeiro Carneiro;BA;;Prado,Porto Seguro,Nova Viçosa,Mucuri,Eunápolis,Itamaraju,Itabela,Itagimirim,Ibirapuã,Caravelas,Alcobaça,Teixeira de Freitas,Vereda,Santa Cruz Cabrália;
32;UNIDADE LOCAL DE FEIRA DE SANTANA/BA;44.007-095;Feira de Santana;(75) 3221-0197,;Av. Rio de Janeiro;BA;;Retirolândia,Rio do Pires,Riachão do Jacuípe,Ruy Barbosa,Salinas da Margarida,Salvador,Santa Bárbara,Sátiro Dias,Seabra,São José do Jacuípe,Santo Estêvão,Santo Amaro,Várzea da Roça,Várzea Nova,Utinga,Tanquinho,Serrinha,SimõEs Filho,Souto Soares,Teofilândia,Wagner,Amélia Rodrigues,Antônio Cardoso,Andaraí,Araci,Baixa Grande,Barro Alto,Barrocas,Biritinga,Capela do Alto Alegre,Capim Grosso,Canarana,Candeal,Candeias,Caém,Cafarnaum,Bonito,Brotas de Macaúbas,Ibitiara,Ibititá,Ipirá,Ibipeba,Ibipitanga,Iraquara,Itaberaba,Itaparica,Feira de Santana,Gavião,Castro Alves,Conceição do Coité,Mulungu do Morro,Mundo Novo,Morro do Chapéu,Mairi,Maragogipe,Jacobina,Lajedinho,Lamarão,Lençóis,Macajuba,Novo Horizonte,Nova Fátima,Oliveira dos Brejinhos,Ourolândia,Palmeiras,Nova Soure,Quixabeira,Rafael Jambeiro,Pintadas;
129;UNIDADE LOCAL DE FLORIANO/PI;64.800-000;Floriano;(89) 3133-1400,;BR - 343;PI;;Água Branca,Alvorada do Gurguéia,Amarante,Angical do Piauí,Avelino Lopes,Baixa Grande do Ribeiro,Bertolínia,Brejo do Piauí,Bom Jesus,Caracol,Canavieira,Canto do Buriti,Colônia do Gurguéia,Corrente,Cristalândia do Piauí,Cristino Castro,Curimatá,Currais,Eliseu Martins,Gilbués,Guadalupe,Guaribas,Floriano,Francisco Ayres,Jerumenha,Jurema,Lagoinha do Piauí,Manoel Emídio,Monte Alegre do Piauí,Nazaré do Piauí,Oeiras,Redenção do Gurguéia,Regeneração,Ribeiro Gonçalves,Santa Filomena,Santa Luz,Santo Antônio dos Milagres,São Francisco do Piauí,São Gonçalo do Gurguéia,São Gonçalo do Piauí,São João da Varjota,Sebastião Leal,São Pedro do Piauí,Uruçuí;
105;UNIDADE LOCAL DE FORTALEZA/CE;60.864-012;Fortaleza;(85) 3270-3454,;Rodovia BR 116;CE;;Caridade,Caucaia,Aquiraz,Fortaleza,Horizonte,Eusébio,Pentecoste,Pacajus,Pacatuba,Maracanaú,Maranguape,Itaitinga,Itapagé,Umirim,São Luís do Curu,Tejuçuoca,São Gonçalo do Amarante;
125;UNIDADE LOCAL DE FOZ DO IGUAÇU/PR;85.865-370;Foz do Iguaçu;(41) 3361-7470,;Rua Santo Rafagnin;PR;;Toledo,São Miguel do Iguaçu,Santa Tereza do Oeste,Santa Terezinha de Itaipu,Santa Lúcia,Quatro Pontes,Medianeira,Mercedes,Matelândia,Marechal Cândido Rondon,Lindoeste,Guaíra,Foz do Iguaçu,Céu Azul,Capitão Leônidas Marques,Cascavel;
66;UNIDADE LOCAL DE GOVERNADOR VALADARES/MG;30.044-210;Governador Valadares;(33) 3272-2567,;Rua Pedro Muller de Faria;MG;;Alvarenga,Alpercata,Belo Oriente,Central de Minas,Divino das Laranjeiras,Divinolândia de Minas,Engenheiro Caldas,Dores de Guanhães,Ferros,Coroaci,Coronel Fabriciano,Conselheiro Pena,Governador Valadares,Galiléia,Gonzaga,Guanhães,Ipatinga,Itueta,Itanhomi,Marilac,Mantena,Nacip Raydan,Naque,Peçanha,Resplendor,Periquito,Santa Maria de Itabira,Santana do Paraíso,Santa Efigênia de Minas,São João do Manteninha,São João Evangelista,Sardoá,Senhora do Porto,Tumiritinga,Tarumirim,Mathias Lobato,Virginópolis,Virgolândia;
149;UNIDADE LOCAL DE GURUPI/TO;77.402-410;Gurupi;(63) 3314-1439,;BR-153/TO;TO;;Silvanópolis,Taguatinga,Talismã,Santa Rita do Tocantins,Santa Rosa do Tocantins,Paranã,Natividade,Crixás do Tocantins,Gurupi,Peixe,Aliança do Tocantins,Alvorada,Chapada da Natividade,Dueré,Fátima,Figueirópolis,Formoso do Araguaia,Cariri do Tocantins,Arraias;
102;UNIDADE LOCAL DE HUMAITÁ/AM;69.800-000;Humaitá;(97) 3373-5764,;Rua Circula Municipal;AM;;Guajará,Humaitá,Boca do Acre,Benjamin Constant,Apuí,Atalaia do Norte,Tapauá,Maués,Novo Aripuanã,Jutaí,Lábrea,Canutama,Carauari;
